date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,cogs,product sales tax,shipping credits,shipping credits tax,gift wrap credits,gift wrap credits tax,Regulatory fee,Tax on regulatory fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction status,Transaction Release Date
"Jan 23, 2026 4:38:06 p.m. PST",25544384651,Order,701-3679900-2178607,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Abbotsford,British Columbia,V2T 0L,Combined TCS+MTC,45,16,2.25,0,0,0,0,0,0,0,0,-2.25,-6.75,-10.44,0,0,27.81,Released,"Feb 1, 2026 12:08:29 a.m. PST"
"Jan 26, 2026 3:20:13 a.m. PST",25544384651,Order,702-1344787-5589867,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Longueuil,Quebec,J4L 4V,Combined TCS+MTC,45,16,2.25,0,0,0,0,0,0,0,0,-2.25,-6.75,-10.44,0,0,27.81,Released,"Feb 3, 2026 12:17:12 a.m. PST"
"Jan 26, 2026 8:55:14 a.m. PST",25544384651,Order,702-0764000-6245854,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Edmonton,Alberta,T5Y 3W,Combined TCS+MTC,45,16,2.25,0,0,0,0,0,0,0,0,-2.25,-6.75,-10.44,0,0,27.81,Released,"Feb 4, 2026 12:15:45 a.m. PST"
"Jan 27, 2026 11:21:32 p.m. PST",25431919491,Refund,702-4594504-3731463,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Vancouver,British Columbia,V6G 2P,Combined TCS+MTC,-45,,-2.25,0,0,0,0,0,0,0,0,2.25,5.4,0,0,0,-39.6,Released,"Jan 27, 2026 11:21:32 p.m. PST"
"Jan 28, 2026 1:32:41 a.m. PST",25544384651,Order,701-5967366-8171454,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Toronto,Ontario,M6E 4T,Combined TCS+MTC,45,16,2.25,3.39,0.17,0,0,0,0,0,0,-2.42,-6.75,-13.83,0,0,27.81,Released,"Feb 4, 2026 5:49:17 p.m. PST"
"Jan 4, 2026 5:55:14 p.m. PST",25325771691,Order,702-8294501-5436214,LAN-CERISE,"LA PETITE OURSE Baby Burp Cloths - Premium Absorbent Triple Layer - Superior Absorbency for Baby Reflux - Muslin Cotton and Microfiber Layers - 18.89""",1,amazon.ca,Amazon,Laval,Quebec,H7L 5R,Combined TCS+MTC,29.99,5.38,4.49,0,0,0,0,0,0,0,0,-4.49,-4.5,-8.43,0,0,17.06,Released,"Jan 13, 2026 11:37:48 p.m. PST"
"Jan 4, 2026 3:29:33 p.m. PST",25325771691,Order,702-2814128-0334616,LAN-RUSTI,"LA PETITE OURSE Baby Burp Cloths - Premium Absorbent Triple Layer - Superior Absorbency for Baby Reflux - Muslin Cotton and Microfiber Layers - 18.89""",1,amazon.ca,Amazon,Tottenham,Ontario,L0G 1W,Combined TCS+MTC,29.99,5.38,3.9,0,0,0,0,0,0,0,0,-3.9,-4.5,-9.85,0,0,15.64,Released,"Jan 14, 2026 7:46:19 a.m. PST"
"Jan 4, 2026 7:02:10 p.m. PST",25325771691,Order,702-8294501-5436214,LAN-RUSTI,"LA PETITE OURSE Baby Burp Cloths - Premium Absorbent Triple Layer - Superior Absorbency for Baby Reflux - Muslin Cotton and Microfiber Layers - 18.89""",1,amazon.ca,Amazon,Laval,Quebec,H7L 5R,Combined TCS+MTC,29.99,5.38,4.49,0,0,0,0,0,0,0,0,-4.49,-4.5,-9.85,0,0,15.64,Released,"Jan 14, 2026 5:22:04 a.m. PST"
"Jan 11, 2026 2:30:11 p.m. PST",25431919491,Order,702-1841966-6221850,LAN-RUSTI,"LA PETITE OURSE Baby Burp Cloths - Premium Absorbent Triple Layer - Superior Absorbency for Baby Reflux - Muslin Cotton and Microfiber Layers - 18.89""",1,amazon.ca,Amazon,Saint-Raymond,Quebec,G3L4S,Combined TCS+MTC,29.99,5.38,4.49,0,0,0,0,0,0,0,0,-4.49,-4.5,-9.85,0,0,15.64,Released,"Jan 20, 2026 10:22:49 p.m. PST"
"Jan 11, 2026 8:47:30 p.m. PST",25431919491,Order,702-4515655-9198659,LAN-RUSTI,"LA PETITE OURSE Baby Burp Cloths - Premium Absorbent Triple Layer - Superior Absorbency for Baby Reflux - Muslin Cotton and Microfiber Layers - 18.89""",1,amazon.ca,Amazon,Halifax,Nova Scotia,B3M 2N,Combined TCS+MTC,29.99,5.38,4.2,0,0,0,0,0,0,0,0,-4.2,-4.5,-9.85,0,0,15.64,Released,"Jan 23, 2026 5:33:03 a.m. PST"
