id,amazon_order_id,merchant_order_id,purchase_date,last_updated_date,order_status,fulfillment_channel,sales_channel,order_channel,url,ship_service_level,product_name,sku,asin,item_status,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,gift_wrap_price,gift_wrap_tax,item_promotion_discount,ship_promotion_discount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,is_business_order,purchase_order_number,price_designation,buyer_identification_number,buyer_identification_type,created_at
188,702-1419454-1235446,702-1419454-1235446,2026-03-27T16:58:21+00:00,2026-03-30T09:35:05+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE One Size Reusable Swim Diapers - Adjustable, Washable & Leakproof - Baby Swimming Diapers for Boys & Girls (15-35 lb) - Ideal for Swim",BUNDLE-3P-L,B0CT2CL5R6,Shipped,1,CAD,39,1.95,,,,,,,"New Westminster","British Columbia","V3L 4X1",CA,,,,,,,"2026-04-29 11:21:40"
189,702-6871899-7803403,702-6871899-7803403,2026-03-27T16:43:00+00:00,2026-03-28T03:55:26+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE 10 One Size Animal Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds",BUNDLE-10CLPS,B09RPVGZWS,Shipped,1,CAD,135,6.75,,,,,,,Longueuil,Quebec,"J4J 1W6",CA,,,,,,,"2026-04-29 11:21:40"
190,702-6871899-7803403,702-6871899-7803403,2026-03-27T16:43:00+00:00,2026-03-28T03:55:26+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Beach",BUNDLE-10CLPS-2,B09XJ5KCV8,Shipped,1,CAD,135,6.75,,,,,,,Longueuil,Quebec,"J4J 1W6",CA,,,,,,,"2026-04-29 11:21:40"
191,702-5090169-1668219,702-5090169-1668219,2026-03-27T15:52:37+00:00,2026-03-28T03:31:31+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,32,1.6,,,,,,,Montreal,Quebec,"H4B 1A7",CA,,,,,,,"2026-04-29 11:21:40"
192,702-9209514-3329807,702-9209514-3329807,2026-03-27T15:49:56+00:00,2026-03-28T08:22:02+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE 10 One Size Animal Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds",BUNDLE-10CLPS,B09RPVGZWS,Shipped,1,CAD,135,6.75,,,,,,,Londesborough,Ontario,"N0M 2H0",CA,,,,,,,"2026-04-29 11:21:40"
193,701-4652900-3297863,701-4652900-3297863,2026-03-27T15:46:49+00:00,2026-03-27T21:29:21+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,4.2,,,,,,,"Conception Bay South",Newfoundland,"A1W 2G2",CA,,,,,,,"2026-04-29 11:21:40"
194,702-7588519-1145057,702-7588519-1145057,2026-03-27T15:22:31+00:00,2026-03-28T03:56:39+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,3.64,3.5,,,,,3.5,King,ON,"L7B 0E6",CA,,,,,,,"2026-04-29 11:21:40"
195,701-7575323-2088233,701-7575323-2088233,2026-03-27T14:45:25+00:00,2026-03-27T20:32:41+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-6,B0BPNZFLQV,Shipped,1,CAD,27.99,3.64,2.33,,,,,2.33,Brampton,Ontario,"L6R 1C8",CA,,,,,,,"2026-04-29 11:21:40"
196,701-2790226-9641857,701-2790226-9641857,2026-03-27T14:28:47+00:00,2026-03-28T06:03:04+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,32,1.6,,,,,,,Boisbriand,Quebec,"J7G 2T7",CA,,,,,,,"2026-04-29 11:21:40"
197,701-2790226-9641857,701-2790226-9641857,2026-03-27T14:28:47+00:00,2026-03-28T06:03:04+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE 10 One Size Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Beach",BUNDLE-10CLPS-2,B09XJ5KCV8,Shipped,1,CAD,135,6.75,,,,,,,Boisbriand,Quebec,"J7G 2T7",CA,,,,,,,"2026-04-29 11:21:40"
